time,src_ip,dst_ip,src_port,dest_port,pkt_len,pkts_per_sec,is_ddos
1680712015.9472868,127.0.0.1,127.0.0.1,64831,3500,16035,0.491569444973469,0
1680712015.9472868,127.0.0.1,127.0.0.1,64479,3500,16035,0.983138889946938,0
1680712015.9482884,127.0.0.1,127.0.0.1,64636,3500,16035,1.4739826133731677,0
1680712015.9482884,127.0.0.1,127.0.0.1,64016,3500,16035,1.9653101511642237,0
1680712015.9492874,127.0.0.1,127.0.0.1,64195,3500,16035,2.45543250532206,0
1680712015.9492874,127.0.0.1,127.0.0.1,64846,3500,16035,2.9465190063864717,0
1680712015.9503055,127.0.0.1,127.0.0.1,64068,3500,16035,3.4358877377726933,0
1680712015.9503055,127.0.0.1,127.0.0.1,64091,3500,16035,3.9267288431687923,0
1680712015.9513006,127.0.0.1,127.0.0.1,64813,3500,16035,4.415413173694719,0
1680712015.9513006,127.0.0.1,127.0.0.1,64924,3500,16035,4.906014637438577,0
1680712015.9522867,127.0.0.1,127.0.0.1,64193,3500,16035,5.394006579336562,0
1680712015.9522867,127.0.0.1,127.0.0.1,64165,3500,16035,5.884370813821704,0
1680712015.9532886,127.0.0.1,127.0.0.1,64041,3500,16035,6.371604908264514,0
1680712015.9532886,127.0.0.1,127.0.0.1,64631,3500,16035,6.861728362746399,0
1680712015.9542882,127.0.0.1,127.0.0.1,64699,3500,16035,7.348251386588468,0
1680712015.9542882,127.0.0.1,127.0.0.1,64942,3500,16035,7.838134812361033,0
1680712015.9542882,127.0.0.1,127.0.0.1,64074,3500,16035,8.323939801327008,0
1680712015.9552884,127.0.0.1,127.0.0.1,64691,3500,16035,8.813583319052126,0
1680712015.9562883,127.0.0.1,127.0.0.1,64245,3500,16035,9.298674131266022,0
1680712015.958286,127.0.0.1,127.0.0.1,64361,3500,16035,9.77851770607566,0
1680712015.9592857,127.0.0.1,127.0.0.1,64665,3500,16035,10.26242758483768,0
1680712015.960288,127.0.0.1,127.0.0.1,64970,3500,16035,10.745851115045221,0
1680712015.960288,127.0.0.1,127.0.0.1,64670,3500,16035,11.23429889300182,0
1680712015.9612896,127.0.0.1,127.0.0.1,64564,3500,16035,11.71701438459113,0
1680712015.9612896,127.0.0.1,127.0.0.1,64894,3500,16035,12.205223317282426,0
1680712015.9622886,127.0.0.1,127.0.0.1,64592,3500,16035,12.687244579860593,0
1680712015.9622886,127.0.0.1,127.0.0.1,64951,3500,16035,13.175215525239846,0
1680712015.9632876,127.0.0.1,127.0.0.1,64418,3500,16035,13.656529319373128,0
1680712015.9632876,127.0.0.1,127.0.0.1,64791,3500,16035,14.14426250935074,0
1680712015.964288,127.0.0.1,127.0.0.1,64846,3500,16035,14.624859785515278,0
1680712015.964288,127.0.0.1,127.0.0.1,64118,3500,16035,15.112355111699122,0
1680712015.9652874,127.0.0.1,127.0.0.1,64224,3500,16035,15.592253462632035,0
1680712015.9652874,127.0.0.1,127.0.0.1,64619,3500,16035,16.079511383339288,0
